id,name,desc,main_ideology,trait
anarcho_capitalism_ideology,無政府資本主義,無政府資本主義とは、右派リバタリアンによる政治思想で、企業支配主義と違って、自由市場の自治を重視し、国家の廃止を提唱する思想である。無政府資本主義の社会では、警察や裁判所など全ての治安サービスは税金によってではなく「民間の防衛・警備会社」によって提供され、通貨は公開市場で民間の競合する銀行によって供給される。従って、無政府資本主義の下では個人や経済活動は、政治によってよりも、私法と契約によって管理される。,anarchism,無政府資本主義者
anarcho_communism_ideology,無政府共産主義,無政府共産主義とは、人の自由と自律を尊び、不当な支配階級や経済格差の無い社会を目指し、「能力に応じて働き、必要に応じて受け取る」という原理を唱える思想である。,anarchism,無政府共産主義者
anarcho_syndicalism_ideology,無政府サンディカリスム,無政府サンディカリスム、すなわちアナルコ・サンディカリスムは、社会主義の一派であり、労働組合運動を重視する無政府主義のことを指す。アナルコ・サンディカリスムという名称はサム・マイアウェリングによって始められた。,anarchism,無政府サンディカリスト
anarchy_ideology,無秩序,,anarchism,無秩序
national_anarchism_ideology,民族無政府主義,,anarchism,民族無政府主義者
religious_anarchism_ideology,宗教無政府主義,,anarchism,宗教無政府主義者
christian_socialism_ideology,キリスト教社会主義,キリスト教社会主義とは、キリスト教内における社会主義思想である。現代的な意味でのキリスト教社会主義とは異なるが、カール・マルクスは共産党宣言の中でキリスト教社会主義に言及しており、キリスト教の主張が社会主義的であることを指摘した上で、キリスト教社会主義は貴族階級の不満を聖化するための聖水に過ぎないとしている。,progressive_socialism,キリスト教社会主義者
ethnic_socialism_ideology,民族社会主義,,progressive_socialism,民族社会主義者
libertarian_socialism_ideology,リバタリアン社会主義,リバタリアン社会主義は、個人の自由と社会的公正の両方を等しく強調する、政治・社会・文化・政治的および社会的理論への取り組みを行う複数の思想である。,progressive_socialism,リバタリアン社会主義者
market_socialism_ideology,市場社会主義,市場社会主義は、生産手段の社会的所有の枠内で、限界効用を用いた新古典派経済理論に基づき市場経済の価格決定メカニズムと同様の価格決定を中央計画当局の政策によって行い生産の効率を高めようとする体制である。,progressive_socialism,市場社会主義者
syndicalism_ideology,サンディカリスム,サンディカリスムは、労働組合主義、組合主義、労働組合至上主義とも訳され、資本家や国家主導の経済運営ではなく、集産主義的な労働組合の連合により経済を運営するというもの。資本主義あるいは社会主義に代わるものとして提案された経済体制の一種またはその思想である。,progressive_socialism,サンディカリスト
techno_socialism_ideology,技術家社会主義,技術家社会主義は、テクノクラシーと社会主義を融合させた体制である。既存の社会主義政策に加えて、科学技術や経済運営、社会政策などの高度な技術的専門知識をもとに政策立案に参画し、その実施に関与する官僚によって、経済・行政が支配される。,progressive_socialism,技術家社会主義者
maoism_ideology,毛沢東主義,,marxism-leninism,毛沢東主義者
militant_socialism_ideology,軍国社会主義,,marxism-leninism,軍国社会主義者
national_bolshevism_left_ideology,国家ボルシェヴィズム左派,,marxism-leninism,国家ボルシェヴィズム左派
national_communism_ideology,民族共産主義,,marxism-leninism,民族共産主義者
stalinism_ideology,スターリン主義,スターリン主義は、ソビエト社会主義共和国連邦の最高指導者を務めたヨシフ・スターリンの発想と実践の総体で、指導者に対する個人崇拝、軍事力や工作活動による暴力的な対外政策、秘密警察の支配を背景とした恐怖政治や大規模な粛清などを特徴とする社会主義を指す。,marxism-leninism,スターリン主義者
techno_bolshevism_ideology,技術家ボルシェヴィズム,技術家ボルシェヴィズムとは、テクノクラシーとボルシェヴィズムの間の融合体制である。この体制はアレクセイ・ガースチェフが主張した体制に近い。,marxism-leninism,技術家ボルシェヴィキ
trotskyism_ideology,トロツキー主義,トロツキー主義、または永続革命主義は、レフ・トロツキーによって主張されたマルクス主義および共産主義革命理論である。世界革命による世界社会主義の達成を目指し、多様な政治傾向を含む労働者階級の統一戦線の結成による二重権力の形成から、最終的な労働者階級の権力奪取を目論むこの思想はかつてヨシフ・スターリンによって迫害された。しかしながら、ソビエト連邦の崩壊、及びスターリン主義の敗北はトロツキー主義の復活を許してしまったようだ……,marxism-leninism,トロツキー主義者
christian_leftist_democracy_ideology,キリスト教左派民主主義,キリスト教左派民主主義とは、主にキリスト教の保守的あるいは右派的な宗教的諸価値に対して、進歩的・左翼的な政治的立場を主張する思想である。,social_democracy,キリスト教左派民主主義者
democratic_socialism_ideology,民主社会主義,民主社会主義とは、社会主義と民主主義の両方を支持する思想である。民主社会主義者は、資本主義は自由、平等、連帯という価値観と本質的に相容れないものであると主張している。大半の民主社会主義者は社会主義への漸進的な移行を求めるが、民主社会主義は社会主義を確立するための手段として革命的・改革主義的な政治を支持することができる。,social_democracy,民主社会主義者
leftist_kemalism_ideology,左派ケマル主義,左派ケマルは多種多様な解釈が存在するケマル主義を社会民主主義などの社会主義的左派的な視点から唱えるイデオロギーである。アタテュルクの治世下では権威的な政治体制による、中央集権的な経済体制が取られてきたが、そのような政治体制から脱却し、より民主的な体制への移行を求める共和人民党内部の派閥からこれまでの政治体制の代替イデオロギーとして左派ケマル主義は定義される。\n\n左派ケマル主義ではケマル主義の大前提である「共和主義」「民族主義」「人民主義」「国家資本主義」「世俗主義」「革命主義からなる「六本の矢」の原則を踏襲しつつ、それらと比較的に馴染みやすい西欧型の社会民主主義からインスピレーションを受けている。,social_democracy,左派ケマル主義者
left_populism_ideology,左派大衆主義,,social_democracy,左派大衆主義者
national_social_democracy_ideology,国家社会民主主義,,social_democracy,国家社会民主主義者
popular_front_ideology,人民戦線,,social_democracy,人民戦線派
reformism_ideology,改良主義,マルクス・レーニン主義と異なり革命や階級闘争を否定して労働組合、労働運動や労使協調による資本主義社会の穏健な「改良」を訴え、労働者に対する福祉や社会保障など社会政策の充実や社会資本の整備を通じて労働者の生活を改善・向上させ、福祉国家を建設することにより「漸進的に社会主義を実現できる」とする思想こそが改良主義である。,social_democracy,改良主義者
classical_liberalism_ideology,古典的自由主義,,liberalism,古典的自由主義者
liberal_corporatocracism_ideology,自由的企業支配主義,,liberalism,自由的企業支配主義者
market_liberalism_ideology,市場自由主義,市場自由主義の主な内容は、規制のない自由な市場と民主的で金権的な政治制度である。彼らはより自由な市場は人々をより自由にすると信じており、また個人の政治的、経済的な権利を断固として守ろうとしている。,liberalism,市場自由主義者
social_liberalism_ideology,社会自由主義,,liberalism,社会自由主義者
agrarianism_ideology,農耕主義,,conservative_democracy,農耕主義者
